eval_count,offload_GA,offload_DE,offload_BITFLIP,offload_RESAMPLE,seq_GA,seq_SWAP,seq_VNS,seq_RESAMPLE,dev_DE,dev_GDE,dev_LEVY,dev_RESAMPLE,overall_GA,overall_DE,overall_GDE,overall_BITFLIP,overall_SWAP,overall_VNS,overall_LEVY,overall_RESAMPLE
6040,0.0275,0.86,0.1025,0.01,0.34,0.6025,0.04,0.0175,0.445,0.505,0.03,0.02,0.1225,0.435,0.168333,0.0341667,0.200833,0.0133333,0.01,0.0158333
12040,0.0075,0.865,0.1225,0.005,0.9025,0.065,0.03,0.0025,0.8625,0.1175,0.0175,0.0025,0.303333,0.575833,0.0391667,0.0408333,0.0216667,0.01,0.00583333,0.00333333
18040,0,0.8275,0.16,0.0125,0.8475,0.0775,0.0725,0.0025,0.665,0.24,0.095,0,0.2825,0.4975,0.08,0.0533333,0.0258333,0.0241667,0.0316667,0.005
24040,0.015,0.83,0.1525,0.0025,0.5575,0.2075,0.2325,0.0025,0.5525,0.3375,0.11,0,0.190833,0.460833,0.1125,0.0508333,0.0691667,0.0775,0.0366667,0.00166667
30040,0.0125,0.76,0.175,0.0525,0.49,0.1,0.41,0,0.1975,0.565,0.2375,0,0.1675,0.319167,0.188333,0.0583333,0.0333333,0.136667,0.0791667,0.0175
36040,0,0.9225,0.025,0.0525,0.13,0.0725,0.7975,0,0.1875,0.6025,0.21,0,0.0433333,0.37,0.200833,0.00833333,0.0241667,0.265833,0.07,0.0175
42040,0.005,0.9825,0.0125,0,0.225,0.0425,0.7325,0,0.055,0.765,0.18,0,0.0766667,0.345833,0.255,0.00416667,0.0141667,0.244167,0.06,0
48040,0.005,0.99,0.005,0,0.22,0.03,0.7475,0.0025,0.255,0.5725,0.1725,0,0.075,0.415,0.190833,0.00166667,0.01,0.249167,0.0575,0.000833333
54040,0.005,0.9675,0.0225,0.005,0.595,0.005,0.39,0.01,0.335,0.5325,0.1325,0,0.2,0.434167,0.1775,0.0075,0.00166667,0.13,0.0441667,0.005
60040,0,0.9875,0.0125,0,0.335,0.065,0.5975,0.0025,0.4575,0.3125,0.23,0,0.111667,0.481667,0.104167,0.00416667,0.0216667,0.199167,0.0766667,0.000833333
66040,0.0025,0.93,0.0675,0,0.2025,0.22,0.5725,0.005,0.3225,0.4575,0.21,0.01,0.0683333,0.4175,0.1525,0.0225,0.0733333,0.190833,0.07,0.005
72040,0,0.9425,0.0575,0,0.1975,0.1275,0.675,0,0.105,0.6675,0.2275,0,0.0658333,0.349167,0.2225,0.0191667,0.0425,0.225,0.0758333,0
78040,0.005,0.975,0.02,0,0.15,0.03,0.8175,0.0025,0.4075,0.4475,0.1375,0.0075,0.0516667,0.460833,0.149167,0.00666667,0.01,0.2725,0.0458333,0.00333333
84040,0.0125,0.965,0.0225,0,0.165,0.06,0.775,0,0.32,0.515,0.1625,0.0025,0.0591667,0.428333,0.171667,0.0075,0.02,0.258333,0.0541667,0.000833333
90040,0.0025,0.99,0.005,0.0025,0.145,0.0075,0.8425,0.005,0.595,0.2275,0.1775,0,0.0491667,0.528333,0.0758333,0.00166667,0.0025,0.280833,0.0591667,0.0025
96040,0.0075,0.9925,0,0,0.275,0.055,0.6675,0.0025,0.735,0.1275,0.09,0.0475,0.0941667,0.575833,0.0425,0,0.0183333,0.2225,0.03,0.0166667
102040,0.005,0.85,0.1425,0.0025,0.235,0.2575,0.505,0.0025,0.4375,0.3125,0.2225,0.0275,0.08,0.429167,0.104167,0.0475,0.0858333,0.168333,0.0741667,0.0108333
108040,0.01,0.9525,0.035,0.0025,0.4675,0.2,0.33,0.0025,0.5725,0.265,0.1225,0.04,0.159167,0.508333,0.0883333,0.0116667,0.0666667,0.11,0.0408333,0.015
114040,0.0025,0.8475,0.15,0,0.2075,0.2325,0.56,0,0.31,0.5175,0.1725,0,0.07,0.385833,0.1725,0.05,0.0775,0.186667,0.0575,0
120040,0.005,0.99,0,0.005,0.47,0.0575,0.47,0.0025,0.78,0.1375,0.06,0.0225,0.158333,0.59,0.0458333,0,0.0191667,0.156667,0.02,0.01
