Command: 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\build\Release\CED_Schedule.exe' --solver CCHIHH --seed 9 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\data' --data_file data_matrix_T50_E50_D150.txt --cnum 50 --enum 50 --dnum 150 --tnum 50 --mopt 5
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data"
Data file: data_matrix_T50_E50_D150.txt
Generations: 10000
Population size: 40
Random seed: 9
Pini (heuristic prob): 0.4
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 50/50/150/50/5
Migration: disabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data\\data_matrix_T50_E50_D150.txt"

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=50, M_Jnum=50, M_OPTnum=5, ops=250
  Nvar=600, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=100
  Block 1 (seq): start=100, len=250
  Block 2 (dev): start=350, len=250
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 1552.48
Gen 50: best_fit = 1022.78
Gen 100: best_fit = 1000.81
Gen 150: best_fit = 995.264
Gen 200: best_fit = 988.959
Gen 250: best_fit = 979.05
Gen 300: best_fit = 972.81
Gen 350: best_fit = 971.729
Gen 400: best_fit = 971.287
Gen 450: best_fit = 970.008
Gen 500: best_fit = 969.692
Gen 550: best_fit = 969.319
Gen 600: best_fit = 968.976
Gen 650: best_fit = 967.126
Gen 700: best_fit = 965.254
Gen 750: best_fit = 964.419
Gen 800: best_fit = 963.447
Gen 850: best_fit = 962.916
Gen 900: best_fit = 962.831
Gen 950: best_fit = 962.334
Gen 1000: best_fit = 962.026
Gen 1050: best_fit = 961.365
Gen 1100: best_fit = 961.13
Gen 1150: best_fit = 960.994
Gen 1200: best_fit = 960.663
Gen 1250: best_fit = 960.529
Gen 1300: best_fit = 960.412
Gen 1350: best_fit = 960.205
Gen 1400: best_fit = 960.126
