Command: 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\build\Release\CED_Schedule.exe' --solver CCHIHH --stable --seed 8 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\data' --data_file data_matrix_100.txt
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data"
Data file: data_matrix_100.txt
Generations: 10000
Population size: 40
Random seed: 8
Pini (heuristic prob): 0.4
Solver: CCHIHH
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data\\data_matrix_100.txt"

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=100, M_Jnum=100, M_OPTnum=5, ops=500
  Nvar=1200, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=200
  Block 1 (seq): start=200, len=500
  Block 2 (dev): start=700, len=500
[CC-HIHH] Initial evaluation...
Gen 7150: best_fit = 55.1277
Gen 7200: best_fit = 55.1271
Gen 7250: best_fit = 55.1228
Gen 7300: best_fit = 55.1191
Gen 7350: best_fit = 55.1184
Gen 7400: best_fit = 55.1178
Gen 7450: best_fit = 55.1178
Gen 7500: best_fit = 55.1178
Gen 7550: best_fit = 55.1178
Gen 7600: best_fit = 55.1178
Gen 7650: best_fit = 55.1172
Gen 7700: best_fit = 55.1101
Gen 7750: best_fit = 55.1101
Gen 7800: best_fit = 55.1101
Gen 7850: best_fit = 55.1101
Gen 7900: best_fit = 55.1101
Gen 7950: best_fit = 55.1098
Gen 8000: best_fit = 55.1098
Gen 8050: best_fit = 55.1098
Gen 8100: best_fit = 55.1095
Gen 8150: best_fit = 55.1055
Gen 8200: best_fit = 55.1055
Gen 8250: best_fit = 55.1055
Gen 8300: best_fit = 55.1052
Gen 8350: best_fit = 55.1052
Gen 8400: best_fit = 55.1052
Gen 8450: best_fit = 55.1052
Gen 8500: best_fit = 55.1015
Gen 8550: best_fit = 55.1015
Gen 8600: best_fit = 55.1009
Gen 8650: best_fit = 55.1003
Gen 8700: best_fit = 55.1003
Gen 8750: best_fit = 55.1003
Gen 8800: best_fit = 55.0993
Gen 8850: best_fit = 55.0993
Gen 8900: best_fit = 55.099
Gen 8950: best_fit = 55.099
Gen 9000: best_fit = 55.099
Gen 9050: best_fit = 55.0987
Gen 9100: best_fit = 55.0987
Gen 9150: best_fit = 55.0984
Gen 9200: best_fit = 55.0984
Gen 9250: best_fit = 55.0984
Gen 9300: best_fit = 55.0981
Gen 9350: best_fit = 55.0978
Gen 9400: best_fit = 55.0978
Gen 9450: best_fit = 55.0978
Gen 9500: best_fit = 55.0978
Gen 9550: best_fit = 55.0978
Gen 9600: best_fit = 55.0978
Gen 9650: best_fit = 55.0947
Gen 9700: best_fit = 55.0907
Gen 9750: best_fit = 55.0907
Gen 9800: best_fit = 55.0907
Gen 9850: best_fit = 55.0873
Gen 9900: best_fit = 55.0843
Gen 9950: best_fit = 55.0836
Gen 10000: best_fit = 55.0836

=== Final Results (CC-HIHH-UCB) ===
Solver: CCHIHH
Subpopulations per block: 8
Generations = 10000
The best solution = 55.0836
Time = 92.81 s

exit code 0
